category,avg_composite_score,max_composite_score,product_count,avg_likes,avg_discount,avg_price,score_norm,likes_norm,count_norm,final_category_score
jewelry,0.442,0.924,4063,101.351,53.057,14.032,1.0,1.0,0.10967250571210967,0.8664508758568165
women,0.409,0.936,12246,95.1,54.437,23.851,0.6857142857142854,0.8156047197640117,1.0,0.7653297513695742
house,0.408,0.939,10509,95.298,49.992,16.14,0.6761904761904759,0.8214454277286137,0.811010771406811,0.7327272583574607
beauty,0.405,0.91,3055,91.377,50.815,16.836,0.6476190476190478,0.7057817109144542,0.0,0.5650168563000422
kids,0.415,0.868,3872,76.329,56.972,19.629,0.7428571428571425,0.26188790560471975,0.0888913067130889,0.5245199581224288
shoes,0.369,0.921,8165,96.079,53.126,33.482,0.30476190476190457,0.8444837758112093,0.555978674790556,0.47737488802852845
bags,0.381,0.924,5105,85.835,52.276,24.421,0.41904761904761895,0.5423008849557521,0.22304428245022304,0.4204604350350428
accessories,0.391,0.867,5862,67.451,50.751,12.03,0.5142857142857143,0.0,0.3054074638233054,0.3543825481449244
men,0.337,0.885,8337,83.027,45.513,23.874,0.0,0.4594690265486727,0.5746926340985747,0.2010711517519544
